id,title,genre,description,image_url
1,"The Matrix","Sci-Fi, Action","A man discovers that the world is a simulation.","https://images.pexels.com/photos/33129/popcorn-movie-party-entertainment.jpg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1"
2,"Interstellar","Sci-Fi, Drama","A group of astronauts travels through a wormhole in search of a new home.","https://images.pexels.com/photos/33129/popcorn-movie-party-entertainment.jpg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1"
3,"The Dark Knight","Action, Drama","A vigilante fights crime in Gotham City.","https://images.pexels.com/photos/33129/popcorn-movie-party-entertainment.jpg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1"
4,"Inception","Sci-Fi, Action","A thief enters the dreams of others to steal secrets.","https://images.pexels.com/photos/33129/popcorn-movie-party-entertainment.jpg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1"
5,"The Godfather","Drama, Crime","The story of a mafia family in New York.","https://images.pexels.com/photos/33129/popcorn-movie-party-entertainment.jpg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1"
6,"Pulp Fiction","Crime, Drama","Intertwined stories of crime and violence.","https://images.pexels.com/photos/33129/popcorn-movie-party-entertainment.jpg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1"
7,"The Shawshank Redemption","Drama","Two imprisoned men bond over a number of years.","https://images.pexels.com/photos/33129/popcorn-movie-party-entertainment.jpg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1"
8,"Forrest Gump","Drama, Romance","The life of an extraordinary man who lived through historic events.","https://images.pexels.com/photos/33129/popcorn-movie-party-entertainment.jpg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1"
9,"The Avengers","Action, Sci-Fi","Earth's mightiest heroes join forces to battle a powerful enemy.","https://images.pexels.com/photos/33129/popcorn-movie-party-entertainment.jpg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1"
10,"Star Wars: A New Hope","Sci-Fi, Adventure","A young farm boy joins forces with rebels to defeat the Empire.","https://images.pexels.com/photos/33129/popcorn-movie-party-entertainment.jpg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1"
11,"Titanic","Drama, Romance","A young couple from different classes fall in love aboard the Titanic.","https://images.pexels.com/photos/33129/popcorn-movie-party-entertainment.jpg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1"
12,"The Lion King","Animation, Adventure","A young lion prince overcomes betrayal and tragedy to claim his kingdom.","https://images.pexels.com/photos/33129/popcorn-movie-party-entertainment.jpg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1"
13,"The Terminator","Action, Sci-Fi","A cyborg assassin is sent back in time to kill the mother of the future leader of the human resistance.","https://images.pexels.com/photos/33129/popcorn-movie-party-entertainment.jpg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1"
14,"Avatar","Action, Sci-Fi","A paraplegic marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.","https://images.pexels.com/photos/33129/popcorn-movie-party-entertainment.jpg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1"
15,"Gladiator","Action, Drama","A betrayed Roman general seeks revenge against the corrupt emperor who murdered his family.","https://images.pexels.com/photos/33129/popcorn-movie-party-entertainment.jpg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1"
16,"The Silence of the Lambs","Crime, Drama, Thriller","A young FBI agent seeks the advice of a cannibalistic serial killer in order to catch another serial killer.","https://images.pexels.com/photos/33129/popcorn-movie-party-entertainment.jpg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1"
17,"Schindler's List","Biography, Drama, History","The true story of Oskar Schindler, who saved over a thousand Jewish refugees during the Holocaust.","https://images.pexels.com/photos/33129/popcorn-movie-party-entertainment.jpg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1"
18,"Fight Club","Drama","An insomniac office worker forms an underground fight club with a soap salesman.","https://images.pexels.com/photos/33129/popcorn-movie-party-entertainment.jpg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1"
19,"Se7en","Crime, Drama, Mystery","Two detectives hunt a serial killer who uses the seven deadly sins as his modus operandi.","https://images.pexels.com/photos/33129/popcorn-movie-party-entertainment.jpg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1"
20,"Jaws","Adventure, Thriller","A great white shark preys upon a small island community.","https://images.pexels.com/photos/33129/popcorn-movie-party-entertainment.jpg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1"
21,"The Prestige","Drama, Mystery, Sci-Fi","Two magicians engage in a bitter rivalry, each trying to outdo the other with their illusions.","https://images.pexels.com/photos/33129/popcorn-movie-party-entertainment.jpg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1"
22,"Django Unchained","Drama, Western","A freed slave teams up with a bounty hunter to rescue his wife from a brutal plantation owner.","https://images.pexels.com/photos/33129/popcorn-movie-party-entertainment.jpg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1"
23,"The Wolf of Wall Street","Biography, Comedy, Drama","The story of Jordan Belfort's rise and fall as a corrupt stockbroker.","https://images.pexels.com/photos/33129/popcorn-movie-party-entertainment.jpg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1"
24,"The Big Lebowski","Comedy, Crime","A laid-back slacker is mistaken for a wealthy man with the same name and is pulled into a crime-related adventure.","https://images.pexels.com/photos/33129/popcorn-movie-party-entertainment.jpg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1"
25,"Back to the Future","Adventure, Comedy, Sci-Fi","A teenager is sent 30 years into the past in a time machine invented by his close friend.","https://images.pexels.com/photos/33129/popcorn-movie-party-entertainment.jpg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1"
